Airline,Aircraft,TravelMonth,IsInternational,FlightDuration,SeatsEconomy,SeatsPremium,PitchEconomy,PitchPremium,WidthEconomy,WidthPremium,PriceTotal
AirFrance,Boeing,Sep,International,6.91,216,24,32,38,17,19,2358
AirFrance,Boeing,Oct,International,6.91,216,24,32,38,17,19,2358
AirFrance,AirBus,Oct,International,9.5,147,21,32,38,18,19,2241
AirFrance,Boeing,Aug,International,6.91,216,24,32,38,17,19,2410
AirFrance,AirBus,Sep,International,9.5,147,21,32,38,18,19,2354
AirFrance,AirBus,Sep,International,13,389,38,32,38,18,19,4811
AirFrance,AirBus,Oct,International,13,389,38,32,38,18,19,4811
AirFrance,AirBus,Aug,International,9.5,147,21,32,38,18,19,2601
AirFrance,Boeing,Jul,International,6.91,216,24,32,38,17,19,2804
AirFrance,Boeing,Aug,International,8.33,200,28,32,38,17,19,6890
AirFrance,Boeing,Sep,International,8.33,200,28,32,38,17,19,6890
AirFrance,Boeing,Oct,International,8.33,200,28,32,38,17,19,6890
AirFrance,AirBus,Jul,International,8.33,147,21,32,38,18,19,5518
AirFrance,AirBus,Aug,International,8.33,147,21,32,38,18,19,5518
AirFrance,AirBus,Sep,International,8.33,147,21,32,38,18,19,5518
AirFrance,AirBus,Oct,International,8.33,147,21,32,38,18,19,5518
AirFrance,AirBus,Jul,International,8.33,147,21,32,38,18,19,5518
AirFrance,AirBus,Aug,International,8.33,147,21,32,38,18,19,5518
AirFrance,AirBus,Sep,International,8.33,147,21,32,38,18,19,5518
AirFrance,AirBus,Oct,International,8.33,147,21,32,38,18,19,5518
AirFrance,AirBus,Aug,International,7.33,147,21,32,38,18,19,5414
AirFrance,AirBus,Sep,International,7.33,147,21,32,38,18,19,5414
AirFrance,AirBus,Oct,International,7.33,147,21,32,38,18,19,5414
AirFrance,AirBus,Aug,International,7.5,389,38,32,38,18,19,5362
AirFrance,AirBus,Sep,International,7.5,389,38,32,38,18,19,5362
AirFrance,Boeing,Oct,International,7.5,200,28,32,38,17,19,5362
AirFrance,AirBus,Sep,International,6.83,147,21,32,38,18,19,5923
AirFrance,AirBus,Oct,International,6.83,147,21,32,38,18,19,5923
AirFrance,Boeing,Aug,International,6.83,200,28,32,38,17,19,5923
AirFrance,Boeing,Jul,International,8.75,200,28,32,38,17,19,6252
AirFrance,Boeing,Aug,International,8.75,200,28,32,38,17,19,6252
AirFrance,Boeing,Sep,International,8.75,200,28,32,38,17,19,6252
AirFrance,Boeing,Aug,International,10.66,389,38,32,38,18,19,6192
AirFrance,Boeing,Sep,International,10.66,389,38,32,38,18,19,6192
AirFrance,Boeing,Oct,International,10.66,389,38,32,38,18,19,6192
AirFrance,AirBus,Aug,International,8.91,147,21,32,38,18,19,5396
AirFrance,AirBus,Sep,International,8.91,147,21,32,38,18,19,5396
AirFrance,AirBus,Oct,International,8.91,147,21,32,38,18,19,5396
AirFrance,Boeing,Aug,International,7.66,200,28,32,38,17,19,6224
AirFrance,Boeing,Sep,International,6.83,200,28,32,38,17,19,6224
AirFrance,Boeing,Oct,International,6.83,200,28,32,38,17,19,6224
AirFrance,AirBus,Jul,International,8.41,389,38,32,38,18,19,6067
AirFrance,AirBus,Aug,International,8.5,389,38,32,38,18,19,6067
AirFrance,AirBus,Sep,International,8.5,389,38,32,38,18,19,6067
AirFrance,Boeing,Oct,International,8.5,389,38,32,38,18,19,6067
AirFrance,AirBus,Sep,International,8.08,147,21,32,38,18,19,5735
AirFrance,Boeing,Jul,International,9.5,200,28,32,38,17,19,6938
AirFrance,Boeing,Aug,International,9.5,200,28,32,38,17,19,6938
AirFrance,Boeing,Sep,International,9.5,200,28,32,38,17,19,6938
AirFrance,Boeing,Oct,International,9.5,200,28,32,38,17,19,6938
AirFrance,Boeing,Jul,International,7.75,174,24,32,38,17,19,6540
AirFrance,Boeing,Aug,International,7.75,174,24,32,38,17,19,6540
AirFrance,Boeing,Sep,International,7.75,174,24,32,38,17,19,6540
AirFrance,Boeing,Oct,International,7.83,174,24,32,38,17,19,6540
AirFrance,AirBus,Jul,International,9.18,147,21,32,38,18,19,6440
AirFrance,AirBus,Aug,International,9.18,147,21,32,38,18,19,6440
AirFrance,AirBus,Sep,International,9.25,147,21,32,38,18,19,6440
AirFrance,AirBus,Oct,International,9.25,147,21,32,38,18,19,6440
AirFrance,AirBus,Jul,International,9.16,147,21,32,38,18,19,6440
AirFrance,AirBus,Aug,International,9.16,147,21,32,38,18,19,6440
AirFrance,AirBus,Sep,International,9.25,147,21,32,38,18,19,6440
AirFrance,AirBus,Oct,International,9.25,147,21,32,38,18,19,6440
AirFrance,Boeing,Aug,International,9.41,200,28,32,38,17,19,7069
AirFrance,Boeing,Sep,International,9.41,200,28,32,38,17,19,7069
AirFrance,Boeing,Oct,International,9.41,200,28,32,38,17,19,7069
AirFrance,Boeing,Jul,International,11.75,174,24,32,38,17,19,7295
AirFrance,Boeing,Aug,International,11.75,174,24,32,38,17,19,7295
AirFrance,Boeing,Sep,International,11.5,389,38,32,38,18,19,7295
AirFrance,Boeing,Oct,International,11.5,389,38,32,38,18,19,7295
AirFrance,Boeing,Jul,International,11.91,200,28,32,38,17,19,6402
AirFrance,Boeing,Aug,International,11.91,200,28,32,38,17,19,6402
AirFrance,Boeing,Sep,International,11.91,200,28,32,38,17,19,6402
AirFrance,Boeing,Oct,International,11.91,200,28,32,38,17,19,6402
AirFrance,AirBus,Jul,International,13,389,38,32,38,18,19,6509
British,Boeing,Aug,International,13.83,203,24,31,38,18,19,10516
British,Boeing,Sep,International,13.83,203,24,31,38,18,19,10516
British,Boeing,Oct,International,13.83,203,24,31,38,18,19,10516
British,Boeing,Jul,International,12.25,122,40,31,38,18,19,6432
British,Boeing,Aug,International,12.25,122,40,31,38,18,19,6432
