ORIGIN_AIRPORT_ID,ROUNDTRIP,ONLINE,PASSENGERS,MILES_FLOWN,ITIN_FARE
10135,0,1,4,1018,45
10135,0,1,1,970,45
10135,0,0,1,1704,45
10135,1,1,1,1046,45
10140,1,1,1,2966,45
10140,1,1,1,4030,45
10140,1,1,1,3346,45
10140,1,1,1,3726,45
10140,1,1,1,3422,45
10140,1,1,1,3750,45
10140,1,1,1,3870,45
10140,1,0,1,1396,45
10140,1,1,1,2364,45
10158,0,1,2,977,45
10158,0,1,6,852,45
10158,0,1,2,936,45
10158,0,1,2,982,45
10158,0,1,4,913,45
10158,1,1,8,1954,45
10158,1,1,4,1704,45
10158,1,1,4,932,45
10158,1,1,2,1964,45
10158,0,1,1,2066,45
10158,1,1,1,1826,45
10208,1,1,1,1748,45
10208,1,1,1,1772,45
10208,1,1,1,1448,45
10208,1,1,1,3780,45
10208,1,1,2,4180,45
10208,1,1,1,1136,45
10208,1,0,1,4564,45
10208,1,1,1,3466,45
10208,1,0,1,1098,45
10208,1,0,1,894,45
10208,1,0,1,1180,45
10208,1,0,1,2034,45
10208,1,0,1,4124,45
10208,1,0,1,1948,45
10208,1,0,1,3780,45
10257,1,1,1,2438,45
10257,1,1,1,2998,45
10257,1,1,1,2868,45
10257,1,1,1,2736,45
10257,1,1,1,2594,45
10257,1,1,1,3272,45
10257,1,1,1,4416,45
10257,1,0,1,4476,45
10257,1,0,1,3664,45
10257,1,0,1,4832,45
10257,1,0,1,5560,45
10275,1,0,1,2160,45
10275,1,0,2,2334,45
10275,1,0,1,2338,45
10372,1,0,1,4564,45
10135,1,1,3,1764,46
10135,0,1,4,1041,46
10135,0,1,8,882,46
10140,1,1,2,1238,46
10140,0,0,1,915,46
10140,0,1,1,486,46
10140,0,1,1,677,46
10158,1,1,32,1954,46
10158,0,1,1,3246,46
10158,1,1,24,1704,46
10158,0,1,2,1713,46
10158,1,1,9,932,46
10158,1,1,25,1872,46
10158,1,1,14,1964,46
10158,1,1,6,1826,46
10158,0,1,1,977,46
10158,0,1,4,466,46
10158,0,1,5,936,46
10158,0,1,1,982,46
10158,0,1,2,913,46
10299,0,1,1,3976,46
10299,0,0,1,1986,46
10372,0,1,1,701,46
10140,0,1,4,486,47
10140,0,1,4,677,47
10158,0,1,5,977,47
10158,0,1,5,852,47
10158,0,1,3,982,47
10158,0,1,4,913,47
10158,1,1,21,1954,47
10158,0,1,1,1558,47
10158,1,1,15,1704,47
10158,1,1,3,932,47
10158,1,1,10,1872,47
